iter	Passed	Remaining
783	14131	3893
784	14135	3871
785	14138	3849
786	14141	3827
787	14169	3812
788	14172	3790
789	14174	3768
790	14177	3745
791	14188	3726
792	14191	3704
793	14193	3682
794	14216	3665
795	14219	3644
796	14223	3622
797	14233	3602
798	14239	3582
799	14241	3560
800	14245	3539
801	14250	3518
802	14253	3496
803	14334	3494
804	14391	3486
805	14430	3473
806	14432	3451
807	14450	3433
808	14455	3412
809	14458	3391
810	14463	3370
811	14465	3349
812	14474	3329
813	14478	3308
814	14487	3288
815	14490	3267
816	14493	3246
817	14496	3225
818	14506	3206
819	14528	3189
820	14532	3168
821	14537	3148
822	14567	3133
823	14569	3111
824	14576	3092
825	14582	3071
826	14584	3051
827	14597	3032
828	14644	3020
829	14648	3000
830	14658	2981
831	14700	2968
832	14733	2953
833	14749	2935
834	14774	2919
835	14780	2899
836	14784	2879
837	14792	2859
838	14811	2842
839	14822	2823
840	14829	2803
841	14832	2783
842	14835	2763
843	14858	2746
844	14861	2726
845	14863	2705
846	14868	2685
847	14877	2666
848	14879	2646
849	14956	2639
850	14965	2620
851	14992	2604
852	14999	2584
853	15004	2565
854	15006	2544
855	15039	2529
856	15049	2511
857	15056	2491
858	15118	2481
859	15169	2469
860	15176	2450
861	15183	2430
862	15187	2410
863	15238	2398
864	15241	2378
865	15246	2359
866	15256	2340
867	15288	2324
868	15292	2305
869	15295	2285
870	15357	2274
871	15365	2255
872	15368	2235
873	15371	2215
874	15373	2196
875	15421	2182
876	15424	2163
877	15427	2143
878	15459	2128
879	15473	2110
880	15476	2090
881	15526	2077
882	15533	2058
883	15536	2038
884	15538	2019
885	15540	1999
886	15596	1986
887	15598	1967
888	15603	1948
889	15609	1929
890	15619	1910
891	15622	1891
892	15624	1872
893	15626	1852
894	15643	1835
895	15682	1820
896	15688	1801
897	15690	1782
898	15692	1763
899	15713	1745
900	15739	1729
901	15749	1711
902	15752	1692
903	15755	1673
904	15813	1659
905	15816	1640
906	15827	1622
907	15834	1604
908	15864	1588
909	15873	1569
910	15878	1551
911	15928	1536
912	15931	1518
913	15976	1503
914	16011	1487
915	16023	1469
916	16154	1462
917	16173	1444
918	16175	1425
919	16192	1408
920	16208	1390
921	16220	1372
922	16223	1353
923	16249	1336
924	16253	1317
925	16257	1299
926	16265	1280
927	16267	1262
928	16280	1244
929	16328	1229
930	16331	1210
931	16340	1192
932	16344	1173
933	16347	1155
934	16378	1138
935	16396	1121
936	16424	1104
937	16427	1085
938	16484	1070
939	16493	1052
940	16524	1036
941	16526	1017
942	16535	999
943	16539	981
944	16542	962
945	16569	945
946	16572	927
947	16574	909
948	16584	891
949	16587	873
950	16589	854
951	16591	836
952	16632	820
953	16636	802
954	16639	784
955	16642	765
956	16645	747
957	16684	731
958	16688	713
959	16691	695
960	16702	677
961	16705	659
962	16708	641
963	16732	624
964	16736	607
965	16739	589
966	16744	571
967	16746	553
968	16765	536
969	16775	518
970	16780	501
971	16785	483
972	16789	465
973	16792	448
974	16807	430
975	16824	413
976	16833	396
977	16835	378
978	16837	361
979	16840	343
980	16867	326
981	16871	309
982	16882	291
983	16886	274
984	16920	257
985	16930	240
986	16932	223
987	16934	205
988	16943	188
989	16946	171
990	16949	153
991	16967	136
992	16995	119
993	16998	102
994	17000	85
995	17012	68
996	17015	51
997	17062	34
998	17066	17
999	17078	0
